name,displayName,country,representative,status,latitude,longitude,hasSubmittedData,city,code,codesystem,iri,projectName,href
,Rome (OPBG) Center,Italy,Pr Andrea Bartuli,Full member,,,,,,ROR,,Rome (OPBG) Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-rome-opbg-center/
,Siena Center,Italy,Pr Dr Alessandra Renieri,Full member,,,,,,ROR,,Siena Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-siena-center/
,Torino Center,Italy,Pr Dr Giovanni Battista Ferrero,Full member,,,,,,ROR,,Torino Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-torino-center/
,Riga Center,Latvia,Dr Ieva Malniece,Full member,,,,,,ROR,,Riga Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-riga-center/
,Vilnius Center,Lithuania,Dr Aušra Matulevičienė,Full member,,,,,,ROR,,Vilnius Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-vilnius-center/
,Luxemburg Hub,Luxemburg,,Hub,,,,,,ROR,,Luxemburg Hub,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-luxemburg-hub/
,Malta Hub,Malta,,Hub,,,,,,ROR,,Malta Hub,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-malta-hub/
,Amsterdam Center,Netherlands,Dr Leonie A. Menke,Full member,,,,,,ROR,,Amsterdam Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-amsterdam-center/
,Groningen Center,Netherlands,Pr Conny van Ravenswaaij-Arts,Full member,,,,,,ROR,,Groningen Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-groningen-center/
,Leiden Center,Netherlands,Dr Gijs Santen,Full member,,,,,,ROR,,Leiden Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-leiden-center/
,Maastricht Center,Netherlands,Dr Margje Sinnema,Full member,,,,,,ROR,,Maastricht Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-maastricht-center/
,Nijmegen Center,Netherlands,Pr Dr Tjitske Kleefstra,Full member,,,,,,ROR,,Nijmegen Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-nijmegen-center/
,Rotterdam Center,Netherlands,Dr Yvette van Ierland,Full member,,,,,,ROR,,Rotterdam Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-rotterdam-center/
,Bergen Center,Norway,Dr Sofia Douzgou Houge,Full member,,,,,,ROR,,Bergen Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-bergen-center/
,Gdansk Center,Poland,Dr Beata Lipska,Full member,,,,,,ROR,,Gdansk Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-gdansk-center/
,Olsztyn Center,Poland,Dr Malgorzata Pawlowicz,Full member,,,,,,ROR,,Olsztyn Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-olsztyn-center/
,Warszawa Center,Poland,Pr Dr Krystyna Chrzanowska,Full member,,,,,,ROR,,Warszawa Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-warzawa-center/
,Coimbra Center,Portugal,Dr Lina Ramos,Full member,,,,,,ROR,,Coimbra Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-coimbra-center/
,Lisboa Center,Portugal,Dr Patricia Dias,Full member,,,,,,ROR,,Lisboa Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-lisboa-center/
,Timisoara Center (Ro-NMCA-ID),Romania,Pr Dr Puiu Maria,Full member,,,,,,ROR,,Timisoara Center (Ro-NMCA-ID),https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-timisoara-center-ro-nmca-id/
,Bratislava Center,Slovakia,Dr Frantisek Horn,Full member,,,,,,ROR,,Bratislava Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-bratislava-center/
,Ljubijana Center,Slovenia,Dr Luca Lovrecic,Hub,,,,,,ROR,,Ljubijana Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-ljubijana-center/
,Barcelona San Joan de Déu Center,Spain,Pr Dr Francesc Palau,Full member,,,,,,ROR,,Barcelona San Joan de Déu Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-barcelona-san-joan-center/
,Barcelona Val d’Hebron Center,Spain,Dr Eduardo Tizzano Ferrari,Full member,,,,,,ROR,,Barcelona Val d’Hebron Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-barcelona-center-val-dhebron/
,Madrid 12 de Octubre Center,Spain,Dr Noemí Nuñez Enamorado,Affiliated partner,,,,,,ROR,,Madrid 12 de Octubre Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-12-de-octubre-center/
,Madrid Gregorio Maranon Center,Spain,Dr Jose Luis Escalante,Affiliated partner,,,,,,ROR,,Madrid Gregorio Maranon Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-madrid-gregorio-maranon-center/
,Madrid La Paz Center,Spain,Dr Pablo Lapunzina,Full member,,,,,,ROR,,Madrid La Paz Center,https://ern-ithaca.eu/about-us/expert-centers/ern-ithaca-madrid-center/
,Stockholm Center,Sweden,Pr Dr Ann Nordgren,Full member,,,,,,ROR,,Stockholm Center,https://ern-ithaca.eu/about-us/expert-centers/770/
