"name","displayName","city","country","longitude","latitude","codesystem","code","iri","projectName"
"Innsbruck Medical University","Innsbruck Medical University","Innsbruck","Austria",11.385333,47.262683,"ROR","https://ror.org/03pt86f80","https://ror.org/03pt86f80","Medical University of Innsbruck"
"Medical University of Vienna","Medical University of Vienna","Vienna","Austria",16.351389,48.22,"ROR","https://ror.org/05n3x4p02","https://ror.org/05n3x4p02","Medical University of Vienna"
"University of Liège","University of Liège","Liège","Belgium",5.559053,50.583291,"ROR","https://ror.org/00afp2z80","https://ror.org/00afp2z80","University Hospital Liege"
"Universitair Ziekenhuis Leuven","Universitair Ziekenhuis Leuven","Leuven","Belgium",4.6955,50.8804,"ROR","https://ror.org/0424bsv16","https://ror.org/0424bsv16","University Hospital Leuven"
"Ghent University Hospital","Ghent University Hospital","Ghent","Belgium",3.725213,51.025171,"ROR","https://ror.org/00xmkp704","https://ror.org/00xmkp704","Ghent University Hospital"
"Universitair Ziekenhuis Brussel","Universitair Ziekenhuis Brussel","Brussels","Belgium",4.307746,50.887265,"ROR","https://ror.org/038f7y939","https://ror.org/038f7y939","University Hospital Brussels"
"Archbishop Makarios III Hospital","Archbishop Makarios III Hospital","Nicosia","Cyprus",33.313803,35.146962,"ROR","https://ror.org/05echw708","https://ror.org/05echw708","Archbishop Makarios III Hospital; 
Karaiskakio Foundation; 
Cyprus Institute of Neurology and Genetics"
"Masaryk Memorial Cancer Institute","Masaryk Memorial Cancer Institute","Brno","Czechia",16.589041,49.195317,"ROR","https://ror.org/0270ceh40","https://ror.org/0270ceh40","Masaryk Memorial Cancer Institute"
"University Hospital in Motol","University Hospital in Motol","Prague","Czechia",14.340355,50.072869,"ROR","https://ror.org/0125yxn03","https://ror.org/0125yxn03","Motol University Hospital"
"Aarhus University Hospital","Aarhus University Hospital","Aarhus","Denmark",10.206476,56.170313,"ROR","https://ror.org/040r8fr65","https://ror.org/040r8fr65","Aarhus Universitetshospital"
"Odense University Hospital","Odense University Hospital","Odense","Denmark",10.369656,55.38545,"ROR","https://ror.org/00ey0ed83","https://ror.org/00ey0ed83","Odense Universitetshospital"
"Rigshospitalet","Rigshospitalet","Copenhagen","Denmark",12.566587,55.696078,"ROR","https://ror.org/03mchdq19","https://ror.org/03mchdq19","Rigshospitalet"
"Tartu University Hospital","Tartu University Hospital","Tartu","Estonia",26.703916,58.367592,"ROR","https://ror.org/01dm91j21","https://ror.org/01dm91j21","Tartu University Hospital"
"Varsinais-Suomen Sairaanhoitopiiri","Varsinais-Suomen Sairaanhoitopiiri","Turku","Finland",22.289382,60.451832,"ROR","https://ror.org/036bxpj43","https://ror.org/036bxpj43","The Hospital District of Southwest Finland, Turku University Hospital"
"Oulu University Hospital","GENTURISFINSN Consortium","Oulu","Finland",25.518611,65.0075,"ROR","https://ror.org/045ney286","https://ror.org/045ney286","GENTURISFINSN consortium (HUS Helsinki University Hospital and OYS Oulu University Hospital)"
"Centre Hospitalier Universitaire de Rouen","Centre Hospitalier Universitaire de Rouen","Rouen","France",1.092236,49.346425,"ROR","https://ror.org/04cdk4t75","https://ror.org/04cdk4t75","Rouen University Hospital"
"Hôpitaux Universitaires Henri-Mondor","Hôpitaux Universitaires Henri-Mondor","Cr√©teil","France",2.452585,48.797006,"ROR","https://ror.org/033yb0967","https://ror.org/033yb0967","University Hospital Henri Mondor-National Referral Center"
"Institute Curie","Institute Curie","Paris","France",2.344167,48.843333,"ROR","https://ror.org/04t0gwh46","https://ror.org/04t0gwh46","Institut Curie"
"Medical Genetics Center","Medical Genetics Center","Munich","Germany",11.563752,48.139379,"ROR","https://ror.org/027nwsc63","https://ror.org/027nwsc63","Medizinisch Genetisches Zentrum"
"University Hospital Bonn","University Hospital Bonn","Bonn","Germany",7.103111,50.701694,"ROR","https://ror.org/01xnwqx93","https://ror.org/01xnwqx93","Center for Hereditary Tumor Syndromes (CHT), University Hospital Bonn"
"Universitäts Kinder Frauenzentrum","Universitäts Kinder Frauenzentrum","Munich","Germany",13.77836,51.054899,"ROR","https://ror.org/015e4mc09","https://ror.org/015e4mc09","Hereditary Cancer Syndrome Center Dresden"
"Universitätsklinikum Erlangen","Universitätsklinikum Erlangen","Erlangen","Germany",11.010556,49.599444,"ROR","https://ror.org/0030f2a11","https://ror.org/0030f2a11","Universit√§tsklinikum Erlangen"
"University Medical Center Hamburg-Eppendorf","University Medical Center Hamburg-Eppendorf","Hamburg","Germany",9.99302,53.55073,"ROR","https://ror.org/01zgy1s35","https://ror.org/01zgy1s35","Universit√§tsklinikum Hamburg-Eppendorf"
"Hannover Medical School","Hannover Medical School","Hanover","Germany",9.8047,52.3839,"ROR","https://ror.org/00f2yqf98","https://ror.org/00f2yqf98","Medizinische Hochschule Hannover"
"Children's Hospital Agia Sophia","Children's Hospital Agia Sophia","Athens","Greece",23.768901,37.984823,"ROR","https://ror.org/0315ea826","https://ror.org/0315ea826","Aghia Sophia Children's Hospital"
"University of Pecs","University of Pecs","P√©cs","Hungary",18.238302,46.073576,"ROR","https://ror.org/037b5pv06","https://ror.org/037b5pv06","University of P√©cs"
"Agostino Gemelli University Polyclinic","Agostino Gemelli University Polyclinic","Rome","Italy",12.429125,41.929752,"ROR","https://ror.org/00rg70c39","https://ror.org/00rg70c39","Fondazione Policlinico Universitario A. Gemelli"
"Policlinico S.Orsola-Malpighi","Azienda Ospedaliero-Universitaria di Bologna","Bologna","Italy",11.362128,44.492527,"ROR","https://ror.org/00t4vnv68","https://ror.org/00t4vnv68","Azienda Ospedaliero-Universitaria di Bologna"
"Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico","Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico","Milan","Italy",9.197662,45.458679,"ROR","https://ror.org/016zn0y21","https://ror.org/016zn0y21","Fondazione IRCCS CA'Granda Ospedale Maggiore Policlinico"
"Fondazione IRCCS Istituto Nazionale dei Tumori","Fondazione IRCCS Istituto Nazionale dei Tumori","Milan","Italy",9.232063,45.474771,"ROR","https://ror.org/05dwj7825","https://ror.org/05dwj7825","Fondazione IRCCS Istituto Nazionale dei Tumori"
"Istituto Neurologico Carlo Besta","Istituto Neurologico Carlo Besta","Milan","Italy",9.230385,45.477186,"ROR","https://ror.org/05rbx8m02","https://ror.org/05rbx8m02","Fondazione IRCCS Istituto Neurologico Carlo Besta"
"Azienda Ospedaliera di Padova","Azienda Ospedaliera di Padova","Padova","Italy",11.887474,45.404314,"ROR","https://ror.org/04bhk6583","https://ror.org/04bhk6583","Azienda Ospedaliera di Padova"
"Ospedale di Parma","Ospedale di Parma","Parma","Italy",10.308548,44.805006,"ROR","https://ror.org/03jg24239","https://ror.org/03jg24239","Azienda Ospedaliero-Universitaria di Parma"
"Bambino Gesù Children's Hospital","Bambino Gesù Children's Hospital","Rome","Italy",12.461168,41.897466,"ROR","https://ror.org/02sy42d13","https://ror.org/02sy42d13","IRCCS Ospedale Pediatrico Bambino Ges√π"
"Azienda Ospedaliera Universitaria Senese","Azienda Ospedaliera Universitaria Senese","Siena","Italy",11.327361,43.343361,"ROR","https://ror.org/02s7et124","https://ror.org/02s7et124","Azienda Ospedaliero-Universitaria Senese"
"Pauls Stradiņš Clinical University Hospital","Pauls Stradiņš Clinical University Hospital","Riga","Latvia",24.068563,56.932768,"ROR","https://ror.org/00h1aq868","https://ror.org/00h1aq868","Pauls Stradins Clinical University Hospital"
"Vilnius University Hospital Santariskiu Klinikos","Vilnius University Hospital Santariskiu Klinikos","Vilnius","Lithuania",25.277787,54.75207,"ROR","https://ror.org/0590pq693","https://ror.org/0590pq693","Vilniaus universiteto ligoninƒós Santaros klinikos"
"Centre Hospitalier de Luxembourg","Centre Hospitalier de Luxembourg","Luxembourg","Luxembourg",6.100791,49.61902,"ROR","https://ror.org/03xq7w797","https://ror.org/03xq7w797","Centre Hospitalier du Luxembourg"
"Mater Dei Hospital","Mater Dei Hospital","Imsida","Malta",14.476744,35.901828,"ROR","https://ror.org/05a01hn31","https://ror.org/05a01hn31","Mater Dei Hospital"
"Haukeland University Hospital","Haukeland University Hospital","Bergen","Norway",5.3587,60.374,"ROR","https://ror.org/03np4e098","https://ror.org/03np4e098","Haukeland University Hospital"
"Pomeranian Medical University","Pomeranian Medical University","Szczecin","Poland",14.554167,53.423056,"ROR","https://ror.org/01v1rak05","https://ror.org/01v1rak05","Pomeranian Medical University - University Clinical Hospital no 1"
"IPO Porto","IPO Porto","Porto","Portugal",-8.605457,41.179406,"ROR","https://ror.org/027ras364","https://ror.org/027ras364","Porto Comprehensive Cancer Center"
"Instituto Português de Oncologia Francisco Gentil","Instituto Português de Oncologia Francisco Gentil","Lisbon","Portugal",-9.13333,38.71667,"ROR","https://ror.org/00r7b5b77","https://ror.org/00r7b5b77","Instituto Portugu√™s de Oncologia de Lisboa Francisco Gentil, EPE"
"Hospital de São João","Hospital de São João","Porto","Portugal",-8.60105,41.181734,"ROR","https://ror.org/04qsnc772","https://ror.org/04qsnc772","Centro Hospitalar Universit√°rio de S√£o Jo√£o - CHUSJ"
"Institute of Oncology Ljubljana","Institute of Oncology Ljubljana","Ljubljana","Slovenia",14.52205,46.051343,"ROR","https://ror.org/00y5zsg21","https://ror.org/00y5zsg21","Institute of Oncology Ljubljana"
"Hospital Universitari Germans Trias i Pujol","Hospital Universitari Germans Trias i Pujol","Barcelona","Spain",2.237542,41.480837,"ROR","https://ror.org/04wxdxa47","https://ror.org/04wxdxa47","Hospital Germans Trias I Pujol - lnstitut Catala d'Oncologia"
"Hospital Sant Joan de Déu Barcelona","Hospital Sant Joan de Déu Barcelona","Barcelona","Spain",2.102141,41.38424,"ROR","https://ror.org/001jx2139","https://ror.org/001jx2139","Hospital Sant Joan de D√©u"
"Karolinska University Hospital","Karolinska University Hospital","Stockholm","Sweden",18.032222,59.352222,"ROR","https://ror.org/00m8d6786","https://ror.org/00m8d6786","Karolinska University Hospital"
"Radboud University Nijmegen Medical Centre","Radboud University Nijmegen Medical Centre","Nijmegen","Netherlands",5.85278,51.8425,"ROR","https://ror.org/05wg1m734","https://ror.org/05wg1m734","Radboud university medical center"
"University Medical Center Groningen","University Medical Center Groningen","Groningen","Netherlands",6.574039,53.222794,"ROR","https://ror.org/03cv38k47","https://ror.org/03cv38k47","University Medical Center Groningen"
"Erasmus MC","Erasmus MC","Rotterdam","Netherlands",4.47917,51.9225,"ROR","https://ror.org/018906e22","https://ror.org/018906e22","Erasmus Medical Center"
"Netherlands Cancer Institute-Antoni van Leeuwenhoek Hospital","Netherlands Cancer Institute-Antoni van Leeuwenhoek Hospital","Amsterdam","Netherlands",4.88969,52.37403,"ROR","https://ror.org/03xqtf034","https://ror.org/03xqtf034","Netherlands Cancer Institute - Antoni van Leeuwenhoek"
"Leiden University Medical Center","Leiden University Medical Center","Leiden","Netherlands",4.49306,52.15833,"ROR","https://ror.org/05xvt9f17","https://ror.org/05xvt9f17","Leiden University Medical Center"
"Manchester University NHS Foundation Trust","Manchester University NHS Foundation Trust","Manchester","United Kingdom",-2.233511,53.465975,"ROR","https://ror.org/00he80998","https://ror.org/00he80998","Genomic Medicine, Central Manchester Foundation Trust"
"Cambridge University Hospitals NHS Foundation Trust","Cambridge University Hospitals NHS Foundation Trust","Cambridge","United Kingdom",0.141292,52.174383,"ROR","https://ror.org/04v54gj93","https://ror.org/04v54gj93","Cambridge University Hospitals NHS Foundation Trust"
"Guy's and St Thomas' NHS Foundation Trust","Guy's and St Thomas' NHS Foundation Trust","London","United Kingdom",-0.088939,51.504882,"ROR","https://ror.org/00j161312","https://ror.org/00j161312","Guy's and St. Thomas' NHS Foundation Trust"
